所屬業管機關,業者編號,卡號,電子票證卡種,持卡身分,票種類型,票種次類型,搭乘路線代碼,搭乘路線名稱,搭乘附屬路線代碼,搭乘附屬路線名稱,搭乘公車路線方向,公車路線計費方式[0: ODFares 上下車刷卡格式; 1: ODTapOnceFares 上車刷卡格式; 2: StageFares 區間收費格式],上車站牌代碼,上車站牌名稱,上車計費站序資料,刷卡上車時間,下車站牌代碼,下車站牌名稱,下車站牌站序,刷卡下車時間,收費價格,優惠額度,轉乘代碼紀錄,優惠資訊,實際支付價格,是否包含異常值(係指上下站值為-99或上下車時間為1970-01-01 00:00:00之情況),檢核錯誤代碼[-2: 未經二階段檢核; -1: 路線資訊錯誤; 0: 驗證通過; 1: 站牌或站位資訊錯誤; 2: 業者與路線資訊不匹配; 3: 路線、站牌與業者資訊不匹配],檢核結果[0: 值域或各式檢核未通過; 1: 值域各式檢核通過但包含異常值; 2: 代碼或邏輯檢核未通過; 3: 值域格式及代碼邏輯皆通過],原始票證筆數,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
Authority,OperatorNo,ID,IDType,HolderType,TicketType,SubTicketType,RouteUID,RouteName,SubRouteUID,SubRouteName,Direction,FarePricingType,BoardingStopUID,BoardingStopName,BoardingStopSequence,BoardingTime,DeboardingStopUID,DeboardingStopName,DeboardingStopSequence,DeboardingTime,Price,Discount,TransferCode,DiscountInfo,PaymentPrice,IsAbnormal,ErrorCode,Result,TicketCount,SrcUpdateTime,UpdateTime,InfoDate
Kaohsiung,1307,48cc404f8a699a59cbcccf0c7e3d2166edf73444660edc2c37228b89bd94adfd,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 12:00:00,KHH108501131452,購物廣場站,6,2024-07-31 12:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,6b53b4ffdbc9e756cb997622077bde7561f741e225e5f3fe40636398697eb680,iPASS,C09,4,#KHH-399,KHH8503,8503,KHH8503,8503,0,0,KHH108503148261,義大世界站,1,2024-07-31 22:00:00,KHH108503131601,市政大樓(四維三路),17,2024-07-31 23:00:00,97.0,97.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,908882bfb15e04f95ea27806b37f64de43a0602bcee1f663646ab1127a83a3ff,EasyCard,B,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 10:00:00,KHH108501148252,義大世界站,7,2024-07-31 11:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,49eb4774b874e1c7ff5a98517ef0a166ed351ccab9c765dbc04358041a9af8a1,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 20:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 20:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,5a50ce2969cc28c33221f1dc948f67160d2f2fa9fb94791b65a4c38b5d15c2c6,iPASS,C01,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,0,0,KHH100503125271,義大醫院,6,2024-07-31 08:00:00,KHH10050388151,高鐵左營站,1,2024-07-31 09:00:00,18.0,18.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,4241f92e0154daa3f394d26b24596f113f231363238c022a239559e171e81645,EasyCard,A,1,,KHH8505,8505,KHH8505,8505,1,0,KHH1085059412,國軍高雄總醫院(捷運衛武營站),10,2024-07-31 13:00:00,KHH108505131452,購物廣場站,15,2024-07-31 14:00:00,41.0,0.0,,,41.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,d172ae6c18791af76452cff47c8e5539d3e9c850c4a7f313802ec7742e75fe1e,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 16:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 17:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,7a0579d0c195b173f550f258ba797f4544d00b99ef369a08a6da29bbd6bb29e7,PaymentID,C09,4,#KHH-MaaS_30D399,KHH5031,E03B燕巢快線,KHH5031,E03B燕巢快線,0,0,KHH105031123451,高雄看守所,11,2024-07-31 17:00:00,KHH10503188151,高鐵左營站,1,2024-07-31 18:00:00,24.0,24.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,59478a4ba754bc59c9bbee1489f3196228a345b05b2caa369a03ab80f32a165c,iPASS,C09,4,#KHH-399,KHH8506,8506,KHH8506,8506,0,0,KHH108506131461,購物廣場站,2,2024-07-31 11:00:00,KHH108506115991,楠梓火車站,7,2024-07-31 11:00:00,62.0,62.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,e889e3ed26c790126ea8d37f8ed4c38340e200110b79b488d44cdc304efb2bb8,iPASS,C09,4,#KHH-399,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,0,0,KHH100503125271,義大醫院,6,2024-07-31 20:00:00,KHH10050388151,高鐵左營站,1,2024-07-31 20:00:00,36.0,36.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
