所屬業管機關,業者編號,卡號,電子票證卡種,持卡身分,票種類型,票種次類型,搭乘路線代碼,搭乘路線名稱,搭乘附屬路線代碼,搭乘附屬路線名稱,搭乘公車路線方向,公車路線計費方式[0: ODFares 上下車刷卡格式; 1: ODTapOnceFares 上車刷卡格式; 2: StageFares 區間收費格式],上車站牌代碼,上車站牌名稱,上車計費站序資料,刷卡上車時間,下車站牌代碼,下車站牌名稱,下車站牌站序,刷卡下車時間,收費價格,優惠額度,轉乘代碼紀錄,優惠資訊,實際支付價格,是否包含異常值(係指上下站值為-99或上下車時間為1970-01-01 00:00:00之情況),檢核錯誤代碼[-2: 未經二階段檢核; -1: 路線資訊錯誤; 0: 驗證通過; 1: 站牌或站位資訊錯誤; 2: 業者與路線資訊不匹配; 3: 路線、站牌與業者資訊不匹配],檢核結果[0: 值域或各式檢核未通過; 1: 值域各式檢核通過但包含異常值; 2: 代碼或邏輯檢核未通過; 3: 值域格式及代碼邏輯皆通過],原始票證筆數,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
Authority,OperatorNo,ID,IDType,HolderType,TicketType,SubTicketType,RouteUID,RouteName,SubRouteUID,SubRouteName,Direction,FarePricingType,BoardingStopUID,BoardingStopName,BoardingStopSequence,BoardingTime,DeboardingStopUID,DeboardingStopName,DeboardingStopSequence,DeboardingTime,Price,Discount,TransferCode,DiscountInfo,PaymentPrice,IsAbnormal,ErrorCode,Result,TicketCount,SrcUpdateTime,UpdateTime,InfoDate
Kaohsiung,1307,855417036f527395fa7df266b6450d7d5cdf3ef32745c003b71b12ae9586eb6a,EasyCard,A,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,0,0,KHH100503125271,義大醫院,6,2024-07-31 09:00:00,KHH10050388151,高鐵左營站,1,2024-07-31 10:00:00,36.0,12.0,,03,24.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,00e252fe0ce59822262123bd902b7c627cf4bea7f84e4b2c768d962a627e43ff,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 08:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 08:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,3dfff8d74d844225614e83e7367471b7d27ebceedda8b02c121de8a8a1ea3363,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8504,8504,KHH8504,8504,1,0,KHH10850492782,衛武社區,12,2024-07-31 11:00:00,KHH108504148252,義大世界站,22,2024-07-31 11:00:00,41.0,41.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,c56f8ca468e4c156f019531e282c0a0644016c5ea76e8409fcccf6ba12b56b38,iPASS,B,1,,KHH8506,8506,KHH8506,8506,1,0,KHH10850669562,楠梓國小,14,2024-07-31 21:00:00,KHH10850662732,翠屏岩站(和平路二段),19,2024-07-31 21:00:00,26.0,0.0,,,26.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,4bbb4b995705b88e906199698ee46d12ea31ba86abb9d299bdd7692fb4a4f980,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 11:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 12:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b77a8420bd8d61549ddb30b41278a1aedcb8b8080023a557bfd3450e20ca6cea,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8503,8503,KHH8503,8503,0,0,KHH108503148261,義大世界站,1,2024-07-31 14:00:00,KHH108503131641,樹德家商,10,2024-07-31 15:00:00,57.0,57.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,c374e47cd002da189ba155c4471db0bec324072a1eaa1cc47f9c4fa5a343dcb9,iPASS,B,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501148252,義大世界站,7,2024-07-31 08:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a100669aa0122f0d76ac87b88aaf634b421cadc4fe1e62316ddaf83cc1abb177,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 18:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 19:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,74cd156703c678372818583d1e4f469ad1f0bd9e685239544b801e9ed841d4d8,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8506,8506,KHH8506,8506,1,0,KHH108506191582,大社果菜市場,18,2024-07-31 17:00:00,KHH108506115952,購物廣場站,20,2024-07-31 17:00:00,26.0,26.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,3cb281727d765db3ffed9182774168ec67b32ea0f765d1966b1e0170f4172097,iPASS,C01,1,,KHH8502,8502,KHH8502,8502,1,0,KHH108502136582,金獅湖站,17,2024-07-31 10:00:00,KHH108502131452,購物廣場站,34,2024-07-31 11:00:00,23.0,23.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,888c1e36e7e4536d41a00759e3376bc1ecc99a9360555e829611601785f16101,PaymentID,C09,4,#KHH-MaaS_30D399,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,1,0,KHH100503133052,高鐵左營站,6,2024-07-31 08:00:00,KHH100503123372,義大醫院,1,2024-07-31 09:00:00,24.0,24.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,64d0b725d500249cb091782a223ab9b226ef7cb3c8819b86b1e5547b82c8ab74,iPASS,B,1,,KHH5031,E03B燕巢快線,KHH5031,E03B燕巢快線,1,0,KHH105031133052,高鐵左營站,14,2024-07-31 21:00:00,KHH105031123462,樹德科技大學(校區),3,2024-07-31 21:00:00,20.0,0.0,,,20.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,ce09d18d44be4226e34f14c197f81e0c7b20d36f5711f681d605d8b5dc92179d,iPASS,C09,4,#KHH-399,KHH8502,8502,KHH8502,8502,0,0,KHH108502131461,購物廣場站,2,2024-07-31 10:00:00,KHH108502182111,古嚴寺,4,2024-07-31 10:00:00,52.0,52.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,9aa738f54e47291125e726740d1496443ebc04b8f7528f5d398a00d5921f277b,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 11:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 12:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,11985541730c12b93ad3141f3cf732f595e7a4b42f46aaef34dae367c62db26b,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8505,8505,KHH8505,8505,0,0,KHH108505148261,義大世界站,1,2024-07-31 16:00:00,KHH108505107671,五甲派出所,13,2024-07-31 17:00:00,57.0,57.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,328de6451717fa5d2fa279be9ca52937e8604b4efddcda048957e255676f0a0f,EasyCard,C01,1,,KHH8506,8506,KHH8506,8506,0,0,KHH108506131461,購物廣場站,2,2024-07-31 16:00:00,KHH108506115981,高雄少年法院,6,2024-07-31 17:00:00,16.0,0.0,,,16.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,60099e4138fc326ca37632b22eb31675d40afbbde049c5408cc523d3524a02e0,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 21:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 21:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a00a394606e1ffbb1d735e81d92fb18d702cd8cb6883ef0b0a34b87d85c81e7d,iPASS,C09,4,#KHH-399,KHH8503,8503,KHH8503,8503,1,0,KHH1085032222,民權一路,3,2024-07-31 06:00:00,KHH108503148252,義大世界站,18,2024-07-31 07:00:00,91.0,91.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,c5ee372703caad0713a02c1c05a182f1aa5e4663c54637b1806185920900d037,EasyCard,C09,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 19:00:00,KHH108501131452,購物廣場站,6,2024-07-31 19:00:00,17.0,0.0,,,17.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,8f96ace55d3b14b9867d4cd3dd9d19a82aaae209891610bd1b3a24b3881fe005,iPASS,B,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 22:00:00,KHH108501131452,購物廣場站,6,2024-07-31 22:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,02239b21384d1f3651f34d52724325c35180669be955363c90b6683fb2f16dfb,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 15:00:00,KHH108501131452,購物廣場站,6,2024-07-31 15:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,8e77201ed7bdaeee43da82a6f6e17233749faf8460097f974e0ce1ce409ad21d,PaymentID,C09,4,#KHH-MaaS_30D399,KHH96,96,KHH96,96,0,0,KHH100096148271,義守大學站,2,2024-07-31 16:00:00,KHH100096191591,大社果菜市場,6,2024-07-31 16:00:00,12.0,12.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,f169b3377a33e5adf5d8658167a52e67ef9fd55b24eed7a340c6baed74ab341c,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8505,8505,KHH8505,8505,0,0,KHH108505148261,義大世界站,1,2024-07-31 17:00:00,KHH1085059421,國軍高雄總醫院(捷運衛武營站),8,2024-07-31 18:00:00,44.0,44.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b9aa35f9771c37118a0f58974e60445355ab4ba15710cd579327e70be2cd1a0f,iPASS,C09,4,#KHH-399,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,0,0,KHH100503191971,樹德科技大學(橫山路),5,2024-07-31 07:00:00,KHH10050388151,高鐵左營站,1,2024-07-31 07:00:00,36.0,36.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,f2c02a82ea6a6b07438630711cfa55a0c8a59ba09e37e2d2b6638d6758881504,iPASS,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 16:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 16:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,c701141e4a51e273d22766aadf2a49b7296749179b5828f2286d7acd06f1e989,iPASS,C09,4,#KHH-399,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,1,0,KHH100503133052,高鐵左營站,6,2024-07-31 12:00:00,KHH100503123372,義大醫院,1,2024-07-31 12:00:00,36.0,36.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,f5692d676b7facf88ede8f6876129135598160dd6ddad128d6ed8095677aa1d4,iPASS,B,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 10:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 11:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,d8b8aeb601b2e48fb768928f274b3ae3d3d287c114b7266a60f22b3f364130e8,PaymentID,C09,4,#KHH-MaaS_30D399,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,0,0,KHH100503123401,樹德科技大學(校區),4,2024-07-31 16:00:00,KHH10050388151,高鐵左營站,1,2024-07-31 17:00:00,24.0,24.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,fd18dda5014e94b53fc7757fc0a82336a97730043af2bb1972782e4cdc9ed2c2,iPASS,A,1,,KHH8503,8503,KHH8503,8503,1,0,KHH108503131592,市政大樓(四維三路),1,2024-07-31 09:00:00,KHH108503131452,購物廣場站,17,2024-07-31 10:00:00,68.0,8.0,,03,60.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,01f5a4cf2b9eafc63cdf59b46e8438b3c43e6f0e36c23afb2cd7786d9ca43c93,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 15:00:00,KHH108501131452,購物廣場站,6,2024-07-31 16:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,bfcdcc93d6b52c58688534441dbd5c3c704f8d9866e2fadc1a8932426dd233df,iPASS,C01,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,1,0,KHH100503133052,高鐵左營站,6,2024-07-31 15:00:00,KHH100503123372,義大醫院,1,2024-07-31 16:00:00,18.0,18.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,bc565ec0cf86a74a400bf19ecc64f6282d0653da185b805c0da587bddd9fccb6,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8506,8506,KHH8506,8506,0,0,KHH108506148261,義大世界站,1,2024-07-31 13:00:00,KHH108506115971,中山路(中正路口),5,2024-07-31 13:00:00,34.0,34.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,0308b79aca4a0d1941fe9ae3f07a6f08e3b083cc979887fe8be1cb8e3ba6cc37,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 16:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 17:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,40539d8ca4d0c772e903133a3685b8b8c87e1419ec5d9fc6da79966bdd6c0668,iPASS,C09,4,#KHH-399,KHH8502,8502,KHH8502,8502,1,0,KHH108502131492,高雄市立美術館,1,2024-07-31 09:00:00,KHH108502131452,購物廣場站,34,2024-07-31 10:00:00,94.0,94.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,5a2cbc124ac90aa3d1d368954ce40ee92335dc51c70f1f3462703a4ad4f32b8a,iPASS,C01,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 22:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 23:00:00,19.0,19.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,3808c555fa93af9c91d87b86b54e2c629694adfbc323c5f95b5113f50b1881bc,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 18:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 18:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,f9e329c5d7d1764fbb1b81a8623d3f7beef4f987978c139773efc0395488d3f1,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 16:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 17:00:00,37.0,37.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b1f6fec3f3dc4019df882b28485135f573f52a2e754da7ab07908e543272caed,iPASS,C09,4,#KHH-399,KHH8502,8502,KHH8502,8502,0,0,KHH108502148261,義大世界站,1,2024-07-31 17:00:00,KHH108502131501,高雄市立美術館,35,2024-07-31 19:00:00,97.0,97.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,9236be24f7a299fd026a240c54783ccf4dfe02b45060ad901cab3c193dff12e6,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501148252,義大世界站,7,2024-07-31 09:00:00,63.0,63.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,db594dfd0d741a3c396cde92c8452716276676672033553dcab6813744a2bcec,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8506,8506,KHH8506,8506,1,0,KHH108506115922,楠梓火車站,15,2024-07-31 09:00:00,KHH108506148252,義大世界站,21,2024-07-31 09:00:00,43.0,43.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a51c17fd14f759dcf321b155b787244289bc60ca626548545eb033d801c99fc3,PaymentID,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501148252,義大世界站,7,2024-07-31 09:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,c35bfcf2b4d02d651b68367860206bac0ed3e1cd4c2c9b9e429444c9ae35fd61,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 16:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 17:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,70c78e5d9c8f0dfc3cea75772d2605732c65ec314cca167f642da125ed28e96e,iPASS,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 16:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 17:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,5ae49fe9b98395313458c214d5ca7df71f447a0430b37990fbac60b530201321,iPASS,C09,4,#KHH-399,KHH8506,8506,KHH8506,8506,1,0,KHH108506115942,中山路(中正路口),17,2024-07-31 08:00:00,KHH108506148252,義大世界站,21,2024-07-31 09:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b1f745b73d0544c26be6941a43f40cce0d46579c7ef6cfc98d4f7bd1549e6c68,iPASS,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 17:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 18:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,66856024ee93544cffee7c9ae620cf4fe7e6c15b5bb23067fc1143c68f0b0d38,iPASS,C09,4,#KHH-399,KHH8506,8506,KHH8506,8506,0,0,KHH108506148261,義大世界站,1,2024-07-31 11:00:00,KHH108506115991,楠梓火車站,7,2024-07-31 11:00:00,69.0,69.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,2c671649d64771fae7227f4b7d5f8f5eacd8c3477ce8051eda172d1b61c175b2,iPASS,B,1,,KHH8506,8506,KHH8506,8506,1,0,KHH10850688292,捷運青埔站,11,2024-07-31 15:00:00,KHH10850669212,清豐路口(楠梓路),12,2024-07-31 15:00:00,26.0,0.0,,,26.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a3490119a5555189755c41fbb2c1c7765a9862f3e70472444a287a676f7f10f8,icash,A,1,,KHH8503,8503,KHH8503,8503,1,0,KHH108503131592,市政大樓(四維三路),1,2024-07-31 09:00:00,KHH108503131452,購物廣場站,17,2024-07-31 10:00:00,68.0,8.0,,03,60.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,210ebed0dae79be45bac9de9f8d637bb2cde60b2d5df73da426bf09712371d75,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8504,8504,KHH8504,8504,0,0,KHH108504148261,義大世界站,1,2024-07-31 16:00:00,KHH108504131771,建國一路,6,2024-07-31 17:00:00,38.0,38.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a97f20ad464412dc72593eefb4b61f501880c9aa96b1cbed0a5e711d57ddf448,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 22:00:00,KHH108501131412,仁林路口(澄觀路二段),3,2024-07-31 22:00:00,26.0,26.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,d33b79d6991711fa49ccfdcfcc1ea4f89af755572a8be624245fbf5c0cb0ee79,iPASS,C02,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 16:00:00,KHH108501148252,義大世界站,7,2024-07-31 17:00:00,19.0,0.0,,,19.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,8e755e1a18969f0a66bf28312f75bd5c69fa1b19e3ac1010984375c9dcc3a7d4,iPASS,C01,1,,KHH8504,8504,KHH8504,8504,0,0,KHH108504131461,購物廣場站,2,2024-07-31 20:00:00,KHH108504131711,鳳山轉運站(捷運大東站),17,2024-07-31 20:00:00,26.0,26.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,4c02fe3379db24f111aeb80b6a5ec66dcd95065bd00f6a58a032f5b1c3e834a3,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8506,8506,KHH8506,8506,1,0,KHH108506115922,楠梓火車站,15,2024-07-31 11:00:00,KHH108506115952,購物廣場站,20,2024-07-31 12:00:00,36.0,36.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,7d0b46085a3c7edbfd971c1da012393b3a2c27ed001a199a3dd22a32e764b42b,iPASS,C02,1,,KHH8503,8503,KHH8503,8503,1,0,KHH10850328492,家樂福鼎山店,11,2024-07-31 06:00:00,KHH108503131452,購物廣場站,17,2024-07-31 07:00:00,25.0,25.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b58c2b8fbc7cfe33a033031f1cae5e911baa0604ce6813b067cc451e8c867ac0,iPASS,C01,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,1,0,KHH100503133052,高鐵左營站,6,2024-07-31 09:00:00,KHH100503123372,義大醫院,1,2024-07-31 10:00:00,18.0,18.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,789312d08293e0e56e7547a2770d4f6b60a19437091397cd2953d71eff91392e,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8502,8502,KHH8502,8502,0,0,KHH10850264011,八德路口(大灣),16,2024-07-31 11:00:00,KHH10850236081,捷運凹子底站(輕軌愛河之心站),28,2024-07-31 12:00:00,26.0,26.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,60528327f07a9458cd70f6281eeeec804c703292945b9179e5b5ad539e2668d1,iPASS,C02,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,1,0,KHH100503133052,高鐵左營站,6,2024-07-31 08:00:00,KHH100503191972,樹德科技大學(橫山路),4,2024-07-31 08:00:00,12.0,0.0,,,12.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,abd093c4ea228b8f06ff26378935616ab920ff373243653de7d63a391d1fbd26,PaymentID,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501131452,購物廣場站,6,2024-07-31 09:00:00,34.0,0.0,,,34.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b785f93fee220c2cef99150cd30758fee6a1ceae32cd6a6144d47ab87d6aed6a,iPASS,B,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,1,0,KHH100503133052,高鐵左營站,6,2024-07-31 08:00:00,KHH100503191972,樹德科技大學(橫山路),4,2024-07-31 08:00:00,20.0,0.0,,,20.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,bce92ab4e51477186c8a698d45f1b6e96940aa903766ed46e31fadd2f5782be0,iPASS,C09,4,#KHH-399,KHH8503,8503,KHH8503,8503,0,0,KHH108503148261,義大世界站,1,2024-07-31 17:00:00,KHH1085032631,鼎強街口,4,2024-07-31 18:00:00,70.0,70.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
