旅次日期,旅次時段(Ex: 12表示為12時00分至12時59分),票證分類 (N-IC: 非電子票證; IC: 電子票證),電子票證卡種,持卡身分,起站代碼,起站中文名稱,迄站代碼,迄站中文名稱,旅運量,資料代表日期(yyyy-MM-dd)
TripDate,TripHour,TicketClass,IDType,HolderType,OriginStationID,OriginStationName,DestinationStationID,DestinationStationName,Volume,InfoDate
2024/5/31,17,IC,iPASS,A,R6,凱旋,O9,苓雅運動園區,3,2024/5/31
2024/5/31,16,IC,iPASS,A,R5,前鎮高中                ,O12,鳳山                  ,1,2024/5/31
2024/5/31,23,IC,iPASS,A,R6,凱旋                  ,R19,楠梓科技園區              ,3,2024/5/31
2024/5/31,12,N-IC,,,R13,凹子底,R11,高雄車站,3,2024/5/31
2024/5/31,21,IC,iPASS,B,R14,巨蛋                  ,O10,衛武營                 ,2,2024/5/31
2024/5/31,17,IC,iPASS,A,R20,後勁,R5,前鎮高中,4,2024/5/31
2024/5/31,19,IC,iPASS,C01,R3,小港                  ,O5/R10,美麗島                 ,1,2024/5/31
2024/5/31,8,IC,CreditCard,A,R12,後驛,R13,凹子底,1,2024/5/31
2024/5/31,12,IC,iPASS,B,O5/R10,美麗島                 ,O8,五塊厝                 ,1,2024/5/31
2024/5/31,8,N-IC,,,O4,前金,O1,哈瑪星,1,2024/5/31
2024/5/31,21,N-IC,,,R14,巨蛋,R15,生態園區,1,2024/5/31
2024/5/31,20,IC,EasyCard,A,R3,小港                  ,R16,左營                  ,13,2024/5/31
2024/5/31,22,IC,CreditCard,A,OT1,大寮,R14,巨蛋,1,2024/5/31
2024/5/31,20,IC,iPASS,A,O5/R10,美麗島                 ,O13,大東                  ,1,2024/5/31
2024/5/31,11,IC,iPASS,A,R21,都會公園,O5/R10,美麗島,4,2024/5/31
2024/5/31,8,IC,iPASS,C02,R6,凱旋                  ,R8,三多商圈                ,1,2024/5/31
2024/5/31,18,IC,CreditCard,A,R7,獅甲,R8,三多商圈,2,2024/5/31
2024/5/31,18,IC,iPASS,A,R17,世運,R17,世運,3,2024/5/31
2024/5/31,11,IC,iPASS,C01,R19,楠梓科技園區              ,R16,左營                  ,6,2024/5/31
2024/5/31,12,IC,iPASS,A,O7,文化中心,O4,前金,6,2024/5/31
2024/5/31,10,IC,iPASS,A,R21,都會公園                ,R9,中央公園                ,1,2024/5/31
2024/5/31,12,IC,iPASS,A,R4,高雄國際機場,R19,楠梓科技園區,1,2024/5/31
2024/5/31,22,IC,EasyCard,A,R19,楠梓科技園區              ,R13,凹子底                 ,1,2024/5/31
2024/5/31,9,IC,iPASS,A,O12,鳳山,O6,信義國小,7,2024/5/31
2024/5/31,20,IC,iPASS,A,R13,凹子底,R24,岡山高醫,12,2024/5/31
2024/5/31,13,IC,iPASS,A,O9,苓雅運動園區              ,O6,信義國小                ,1,2024/5/31
2024/5/31,12,IC,iPASS,C01,O2,鹽埕埔                 ,R8,三多商圈                ,1,2024/5/31
2024/5/31,8,IC,iPASS,A,O1,哈瑪星                 ,R16,左營                  ,2,2024/5/31
2024/5/31,22,IC,EasyCard,A,R15,生態園區                ,O6,信義國小                ,3,2024/5/31
2024/5/31,13,IC,iPASS,A,R19,楠梓科技園區,O7,文化中心,1,2024/5/31
2024/5/31,13,IC,iPASS,A,R14,巨蛋                  ,R7,獅甲                  ,5,2024/5/31
2024/5/31,17,IC,iPASS,A,R12,後驛                  ,R14,巨蛋                  ,5,2024/5/31
2024/5/31,10,IC,iPASS,C02,R5,前鎮高中                ,R3,小港                  ,1,2024/5/31
2024/5/31,16,IC,iPASS,C02,O7,文化中心                ,R3,小港                  ,1,2024/5/31
2024/5/31,17,IC,iPASS,C01,O13,大東                  ,O12,鳳山                  ,1,2024/5/31
2024/5/31,21,IC,iPASS,C02,O5/R10,美麗島                 ,O9,苓雅運動園區              ,1,2024/5/31
2024/5/31,10,IC,iPASS,A,R9,中央公園                ,R3,小港                  ,1,2024/5/31
2024/5/31,10,IC,iPASS,C01,R3,小港                  ,R11,高雄車站                ,4,2024/5/31
2024/5/31,9,IC,iPASS,A,R14,巨蛋,R13,凹子底,1,2024/5/31
2024/5/31,7,IC,iPASS,B,R5,前鎮高中,R11,高雄車站,32,2024/5/31
2024/5/31,11,IC,iPASS,A,R12,後驛                  ,R9,中央公園                ,2,2024/5/31
2024/5/31,16,N-IC,,,O7,文化中心,O8,五塊厝,1,2024/5/31
2024/5/31,22,IC,iPASS,A,O6,信義國小                ,O4,前金                  ,1,2024/5/31
2024/5/31,22,IC,EasyCard,A,R4A,草衙                  ,O9,苓雅運動園區              ,2,2024/5/31
2024/5/31,9,IC,iPASS,B,R15,生態園區,R20,後勁,1,2024/5/31
2024/5/31,20,N-IC,,,R14,巨蛋,O5/R10,美麗島,7,2024/5/31
